mode,context_len,new_tokens,e2e_latency_s_mean
no_cache,64,960,57.223083600999914
kv_cache_v1,64,960,11.272875258800013
no_cache,128,896,56.14618170019999
kv_cache_v1,128,896,10.652247718199988
no_cache,256,768,53.933912581400094
kv_cache_v1,256,768,9.098918802799925
no_cache,512,512,43.42611078839991
kv_cache_v1,512,512,6.05934569200017
no_cache,768,256,25.77206808360006
kv_cache_v1,768,256,3.0100046695999483
no_cache,896,128,13.905272792399956
kv_cache_v1,896,128,1.6353592474000833
no_cache,1024,0,0.0004391407999719377
kv_cache_v1,1024,0,0.10717602579998128
